offset,offset_hex,references,call_references,branch_references,first_ref_hex
114052,0x1bd84,5,0,5,0x1bce4
114205,0x1be1d,5,0,5,0x1bbd2
133798,0x20aa6,5,0,5,0x20844
146347,0x23bab,5,0,5,0x23bc7
153627,0x2581b,5,0,5,0x257a7
155225,0x25e59,5,0,5,0x25e30
155387,0x25efb,5,0,5,0x25ed2
155595,0x25fcb,5,0,5,0x25fa2
155687,0x26027,5,0,5,0x25ffe
155895,0x260f7,5,0,5,0x260ce
156234,0x2624a,5,0,5,0x261fb
156423,0x26307,5,0,5,0x262e2
156531,0x26373,5,0,5,0x262c1
159335,0x26e67,5,0,5,0x26dbe
160204,0x271cc,5,0,5,0x271a4
168259,0x29143,5,0,5,0x28f58
