module_index,module,kind,segment,linker_offset,size,name,local_count,locals
140,F:\WLIBS\fields\fields.c,0x24,1,1099837,657,Add_String_List_Field,16,x1;y1;width;string;active_flag;)variable;set_value;fill_type;fill_param1;fill_param2;fill_param3;fill_param4;hotkey;help_entry;ascii;hotkey_field
140,F:\WLIBS\fields\fields.c,0x24,1,1100494,1063,Interpret_Keyboard_Input,16,)field_num;count;key;mouse_x;mouse_y;current_field;next_field;i;character;clear_hotkeys;original_character;fkey_hit;jtemp_string;dx;dy;d2
140,F:\WLIBS\fields\fields.c,0x24,1,1101557,6179,Interpret_Mouse_Input,16,i;j;m;mouse_x;mouse_y;button_number;valid;xmin;ymin;xmax;ymax;field_type;field_num;character;return_value;clear_multi_hotkey_fields
140,F:\WLIBS\fields\fields.c,0x24,1,1107736,7372,Draw_Visible_Fields,12,i;j;height;space;temp_value;var_segment;var_offset;cursor_change;old_window_x1;old_window_x2;old_window_y1;old_window_y2
140,F:\WLIBS\fields\fields.c,0x24,1,1115108,162,Copy_Continuous_String,1,j
140,F:\WLIBS\fields\fields.c,0x24,1,1115270,160,Timed_Wait_For_Input,3,time;hit;count
141,E:\WLIBS\fonts\fonts.c,0x24,1,1115430,192,Load_Font_File,3,!font_file;!font_ptr;!style_data
141,E:\WLIBS\fonts\fonts.c,0x24,1,1115622,137,Load_Palette,6,entry;start_color;end_color;!palette_data;i;5buffer
141,E:\WLIBS\fonts\fonts.c,0x24,1,1115759,150,Get_String_Width,5,!string;pos;width;char_num;horizontal_spacing
141,E:\WLIBS\fonts\fonts.c,0x24,1,1115909,298,Set_Font,3,style_num;color_num;i
141,E:\WLIBS\fonts\fonts.c,0x24,1,1116207,273,Set_Font_Solid,3,style_num;color_num;i
141,E:\WLIBS\fonts\fonts.c,0x24,1,1116480,339,Set_Remap_Font_Style,3,style_num;!colors;i
141,E:\WLIBS\fonts\fonts.c,0x24,1,1116819,58,Set_Remap_Font_Style_Shadow_Down,2,style_num;!colors
141,E:\WLIBS\fonts\fonts.c,0x24,1,1116877,58,Set_Remap_Font_Style_Shadow_Up,2,style_num;!colors
141,E:\WLIBS\fonts\fonts.c,0x24,1,1116935,58,Set_Remap_Font_Style_Shadow_Heavy,2,style_num;!colors
141,E:\WLIBS\fonts\fonts.c,0x24,1,1116993,58,Set_Remap_Font_Style_Outline,2,style_num;!colors
141,E:\WLIBS\fonts\fonts.c,0x24,1,1117051,58,Set_Remap_Font_Style_Outline_Heavy,2,style_num;!colors
141,E:\WLIBS\fonts\fonts.c,0x24,1,1117109,278,Set_Font_Style,3,style_num;!colors;i
141,E:\WLIBS\fonts\fonts.c,0x24,1,1117387,58,Set_Font_Style_Shadow_Down,2,style_num;!colors
141,E:\WLIBS\fonts\fonts.c,0x24,1,1117445,58,Set_Font_Style_Shadow_Up,2,style_num;!colors
141,E:\WLIBS\fonts\fonts.c,0x24,1,1117503,58,Set_Font_Style_Shadow_Heavy,2,style_num;!colors
141,E:\WLIBS\fonts\fonts.c,0x24,1,1117561,58,Set_Font_Style_Outline,2,style_num;!colors
141,E:\WLIBS\fonts\fonts.c,0x24,1,1117619,58,Set_Font_Style_Outline_Heavy,2,style_num;!colors
141,E:\WLIBS\fonts\fonts.c,0x24,1,1117677,55,Set_Outline_Color,2,color_num;alias_color
141,E:\WLIBS\fonts\fonts.c,0x24,1,1117732,60,Set_Font_LF,1,spacing
141,E:\WLIBS\fonts\fonts.c,0x24,1,1117792,44,Set_Font_Spacing_Width,1,spacing
141,E:\WLIBS\fonts\fonts.c,0x24,1,1117836,45,Set_Font_Spacing,1,spacing
141,E:\WLIBS\fonts\fonts.c,0x24,1,1117881,78,Set_Font_Highlight_Colors,2,!colors;i
141,E:\WLIBS\fonts\fonts.c,0x24,1,1117959,78,Set_Font_Special_Colors,2,!colors;i
141,E:\WLIBS\fonts\fonts.c,0x24,1,1118037,68,Set_Alias_Color,3,palette_num;i;start_offset
141,E:\WLIBS\fonts\fonts.c,0x24,1,1118105,73,Save_Alias_Colors,1,i
141,E:\WLIBS\fonts\fonts.c,0x24,1,1118178,73,Restore_Alias_Colors,1,i
141,E:\WLIBS\fonts\fonts.c,0x24,1,1118251,70,Print_Integer,5,x;y;val;>buffer;next_x
141,E:\WLIBS\fonts\fonts.c,0x24,1,1118321,70,Print_Unsigned,5,x;y;val;@buffer;next_x
141,E:\WLIBS\fonts\fonts.c,0x24,1,1118391,70,Print_Right,5,x;y;!string;string_len;next_x
141,E:\WLIBS\fonts\fonts.c,0x24,1,1118461,86,Print_Centered,5,x;y;!string;string_len;next_x
141,E:\WLIBS\fonts\fonts.c,0x24,1,1118547,70,Print_Integer_Right,5,x;y;val;Bbuffer;next_x
141,E:\WLIBS\fonts\fonts.c,0x24,1,1118617,70,Print_Integer_Centered,5,x;y;val;Cbuffer;next_x
141,E:\WLIBS\fonts\fonts.c,0x24,1,1118687,70,Print_Unsigned_Centered,5,x;y;val;Dbuffer;next_x
141,E:\WLIBS\fonts\fonts.c,0x24,1,1118757,70,Print_Unsigned_Right,5,x;y;val;Ebuffer;next_x
141,E:\WLIBS\fonts\fonts.c,0x24,1,1118827,72,Print_Full,4,x;y;!string;right_side
141,E:\WLIBS\fonts\fonts.c,0x24,1,1118899,56,Print,3,x;y;!string
141,E:\WLIBS\fonts\fonts.c,0x24,1,1118955,1321,Print_Display,12,x;y;!string;full_flag;outline_style;current_color_set;i;ddx;x1;x2;y1;y2
