name,offset,classification,cfg_status
Play_Background_Music_,84047,routine_entry,matches+unresolved
Fade_Down_Background_Music_,84237,routine_entry,matches+unresolved
Play_Combat_Music_,84332,routine_entry,matches+unresolved
Get_Text_Message_,84473,routine_entry,shorter+unresolved
Decode_Text_Message_,84682,routine_entry,matches
Decode_Text_Name_,85296,routine_entry,matches
Decode_Text_Race_,85296,routine_entry,matches
Decode_Text_Race_And_Name_,85296,routine_entry,matches
Decode_Text_Name_And_Stat_,85324,routine_entry,matches
Decode_Text_Name_And_System_,85354,routine_entry,matches
Decode_Text_Name_And_Tech_,85379,routine_entry,matches
Decode_Text_Name_And_Other_Tech_,85404,routine_entry,matches
Decode_Text_Name_Tech_And_Other_Tech_,85445,routine_entry,matches
Decode_Text_Name_And_Name_,85488,routine_entry,matches
Decode_Text_Stat_,85512,routine_entry,matches
Decode_Text_System_,85543,routine_entry,matches
Decode_Text_Field_,85566,routine_entry,matches
Decode_Text_Year_,85588,routine_entry,matches
Decode_Text_Tech_And_Other_Name_,85619,routine_entry,matches
Bill_Picture_To_Mouse_,85654,routine_entry,matches
Draw_Logos_,85715,routine_entry,matches+unresolved
Logo_Fade_Out_,86415,routine_entry,matches
Slow_Fade_In_,86511,routine_entry,matches
Check_For_Simtex_Logo_,86617,routine_entry,matches
NPC_Diplomacy_,86695,routine_entry,matches
NPC_Tech_Exchange_,86725,routine_entry,matches
NPC_Threats_,86741,routine_entry,matches+unresolved
NPC_To_NPC_Treaty_Negotiations_,87341,routine_entry,matches+unresolved
Honor_Alliances_,88786,routine_entry,shorter+unresolved
Eliminate_NPC_Treaty_Conflicts_,89030,routine_entry,matches+unresolved
NPC_Diplomacy_Buildup_Penalties_,89212,routine_entry,matches+unresolved
NPC_Declarations_Of_War_,89585,routine_entry,matches+unresolved
NPC_Peace_Negotiations_,91914,routine_entry,matches+unresolved
NPC_Required_Alliances_,92317,routine_entry,shorter+unresolved
NPC_To_Human_Diplomacy_,92560,routine_entry,shorter
Get_Tech_Exchange_Reaction_,93117,routine_entry,shorter+unresolved
compare_tech_,93453,routine_entry,matches
reverse_compare_tech_,93458,routine_entry,matches
Get_Exchange_Tech_List_,93465,routine_entry,matches
Get_Tech_Exchange_Expectation_,94138,routine_entry,shorter+unresolved
Get_Differential_Tech_List_,94356,routine_entry,shorter+unresolved
NPC_Tech_Exchange_Check_,94735,routine_entry,matches+unresolved
NPC_Good_Proposal_Check_,95086,routine_entry,matches+unresolved
Clear_Last_Proposal_Turn_,95495,routine_entry,shorter+unresolved
NPC_Message_Rejection_Check_,95583,routine_entry,shorter+unresolved
NPC_Proposal_Rejection_Accept_,95974,routine_entry,shorter+unresolved
NPC_Treaty_Hatred_,96207,routine_entry,matches+unresolved
NPC_Surrender_Check_,96829,routine_entry,matches+unresolved
Does_Ship_Have_Missiles_Incoming_,98086,routine_entry,matches
Safe_To_Fire_Sphere_Weapon_,98207,routine_entry,matches
Ai_Self_Destruct_Check_,98664,routine_entry,matches+unresolved
Release_Smallest_Ship_From_Stasis_,99782,routine_entry,matches
Ai_Stasis_Check_,99914,routine_entry,matches
Range_To_XY_,100072,routine_entry,matches
Range_To_Missile_,100406,routine_entry,matches
Range_To_Ship_,100442,routine_entry,matches
Expected_Weapon_Damage_,100804,routine_entry,shorter+unresolved
Expected_Missile_Damage_,102062,routine_entry,shorter+unresolved
Expected_Beam_Bomb_Damage_,102618,routine_entry,shorter+unresolved
Missile_Overkill_Check_,103384,routine_entry,matches
